Question,Answer,Category,Crop,QueryType
asking about to control aphids in bottle gourd,adviced to spray malathion 50 ec 2ml/l,General,General,General
query about wilting of potato,adviced to spray bactinash 200 2ml/l,General,General,General
problem of leaf curling,adviced to spray rogor @ 2 gm per litre of water,General,General,General
diseases in mango,adviced to apply bavistin @ 2 gm per liter of water,General,General,General
asking about top dressing of mustard,suggested him to apply urea-4kg/bigha,General,General,General
asking about irrigation system in potato,explained him in details,General,General,General
asking about top dressing of urea in mustard,suggested him to top dress urea-2kg/bigha,General,General,General
disease in potato,adviced to apply ridomil mz 72 @ 2 gm per liter of water,General,General,General
asking about disease problem in bottle gourd,suggested to spray saaf @ 1gm/litre of water,General,General,General
asking aboutb the use of micronutrient in mustard.,advised him to apply green harvest crop booster @ 2 gm / liter of water.,General,General,General
problem of mustar saw fly.,advised him to apply malathion 50 ec @ 2 ml / liter of water.,General,General,General
problem of black rot in cauliflower.,advised him to apply agromycine @ 2 ml / liter of water.,General,General,General
asking about the various cultural practices for ridge gourd,given in details about the practices,General,General,General
asking about growth problem,advice to spray green harvest crop booster @ 25 gm/ 10 l water,General,General,General
asking about the management of ffertilizer in marigold,advised to use compost @ 2-3 quintle/ bigha,General,General,General
asking about the eus disease,apply sukrena ws @ 500 ml/bigha water area,General,General,General
asking about financial assistance for poultry fatrming.,suggested to contact with nearst veterinarian and nationalised bank for loans and finances.,General,General,General
asking for fertilizer requirement in one bigha,advised to apply 18 kg urea 33 kg super and 8 kg of potash in one bigha,General,General,General
asking about the papaya time of sowing,suggest him that time of sowing is feb. to march for seed and april to june,General,General,General
asking about the package of practices of boro rice,given in details,General,General,General
asking about treatment of worms infestation infestation in pig.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight.along with that administer liv-52 vet @ 5 ml twice daily.,General,General,General
blight of potato,advised to spray indofil m- 45 @2 gram mixed with one litre water,General,General,General
asking about the sowing  of vegetables in january,"ridgegourd,bittergourd,snakegourd,pointedgourd etc",General,General,General
asking about the potato viral,application plantomycin @ 2 ml per litre of water,General,General,General
asking about the fertlizer dose,suggest him the fertilizer dose for banana,General,General,General
asking about poultry farming.,explain in details about poultry framing.,General,General,General
wilt in betel vine,suggested to apply bordeaux mixture,General,General,General
asking cultural practices,exlain in details,General,General,General
asking about the source of information of pure duck layer breed.,"suggested to contact the farm manager,sird, khanapara, ghy-22.",General,General,General
control of crecospora leaf spot in mustard,advised to spray bavistin @ 2 gram per litre of water,General,General,General
control of anthracnose in betel vine,advised to apply 1% bordeaux mixture solution @ 100-150 ml per plant,General,General,General
query regarding application of vitamin in bottle gourd,suggested tracel 2 @ 2gm per litr of water,General,General,General
asking about termite problem in garlic,suggested to spray tricel 20 @ 3ml/litre of water,General,General,General
asking about leaf spot problem in marigold,suggested to spray saaf @ 1gm/litre of water,General,General,General
asking for pest problem,adviced for use of inm technology,General,General,General
problem of aphids in rapeseed.,advised him to apply malathion 50 ec @ 2 ml / liter of wateer.,General,General,General
asking about the use of crop booster in mustard.,green harvest crop booster have to be used @ 2 gm / liter of water.,General,General,General
late blight of potato,spray indofil m - 45 @ 2 gram / litre water,General,General,General
fungal wilt,spray bavistin @ 2gram mixed with one litre water,General,General,General
asking about treatment of salivation in piglet.,suggested to administer aciloc 150 mg tab once daily for 5 days. along with that administer meriquin 50 mg tab once daily for 5 days.,General,General,General
asking about treatment of respiratory disease.,suggested to administetr lixen powder once daily for 5 days.,General,General,General
wilt in chillies,spray captaf @ 2gm/lit,General,General,General
asking about treatment of white diarrhoea in duck.,suggested to administer tetracycline powder once daily for 5 days.,General,General,General
asking about cultural practices of squash,explained in details,General,General,General
asking about field preparation,explained in details,General,General,General
asking about bunchy top disease,advice to spray rogor 1ml/l water,General,General,General
asking about nursery management in hybrid rice,explained in details,General,General,General
asking about the source of information of a pure goat breed.,"suggested to contact the farm manager, goat research farm, byrnihat.",General,General,General
asking about seedbed preparation of hybrid rice,explained him in details,General,General,General
problem of aphids in mustard.,advised him to apply rogor 35 ec @ 2 ml / liter of water.,General,General,General
asking about planting procedure of arise 6444,explained in detail,General,General,General
asking about the names of hybrid varites of water melon,"advised to use new hampshire midget, asahi yamoto, pusa bedana or sugar baby",General,General,General
query about micronutrient management of pumkin,adviced to spray tracel 2ml/l,General,General,General
phytophthora leaf rot,spray bordeux mixture 5-6 times in an interval of 20 days,General,General,General
micro nutrient deficiency,"advised to spray tracel ,multiplex or agromin @ 2 gram / litre",General,General,General
asking about disease problem in cauliflower,suggested to spray saaf @ 1gm/litre of water,General,General,General
asking about the potato nutrient management practices,application of miracle @ 2  gram per litre of water,General,General,General
